semantic_id	authority_id	class	allocatable	architecture	features	minimum_revision	views	arrangements	lists_lanes_tiles	overlap	target_owned	state_behavior	source_basis	references
a64:semantic:state:exclusive-monitors	a64:state:exclusive-monitors	architectural_state	no	Armv8-A	base	v8Ap0	local_exclusive_monitor|global_exclusive_monitor	exclusive_reservation_state	none	local_and_global_monitors_are_distinct_architectural_components	exclusive_monitor_state	load_exclusive_sets_reservation;store_exclusive_tests_and_clears_it;CLREX_and_exception_paths_clear_as_cataloged	AARCHMRS:Instructions.json:SetExclusiveMonitors|ExclusiveMonitorsPass|ClearExclusiveLocal	implicit:exclusive_monitors
a64:semantic:state:fp-access-control	a64:state:fp-access-control	architectural_state	no	Armv8-A	base	v8Ap0	CPACR_EL1.FPEN|CPTR_EL2.FPEN|CPTR_EL2.TFP|CPTR_EL3.TFP	access_control_fields	none	EL_specific_controls_are_distinct_and_combine_by_cataloged_trap_rules	fp_access_control	FP_SIMD_instructions_record_access_control_reads_and_possible_access_traps	AARCHMRS:Registers.json:CPACR_EL1|CPTR_EL2|CPTR_EL3	implicit:fp_access_control
a64:semantic:state:fpcr	a64:state:fpcr	architectural_state	no	Armv8-A	fp_simd	v8Ap0	FPCR	floating_point_control_fields	none	fields_are_distinct_controls_defined_by_the_pinned_authority	FPCR	floating_operations_record_each_read_or_write_of_rounding_exception_and_mode_control_state	AARCHMRS:Registers.json:FPCR	implicit:FPCR
a64:semantic:state:fpsr	a64:state:fpsr	architectural_state	no	Armv8-A	fp_simd	v8Ap0	FPSR	floating_point_status_fields	none	fields_are_distinct_status_bits_defined_by_the_pinned_authority	FPSR	floating_operations_record_cumulative_exception_and_condition_status_reads_and_writes	AARCHMRS:Registers.json:FPSR	implicit:FPSR
a64:semantic:state:instruction-cache-hierarchy	a64:state:instruction-cache-hierarchy	architectural_state	no	Armv8-A	base	v8Ap0	instruction_cache_levels|coherency_domains|maintenance_state	cache_lines	levels|domains	unified_levels_share_cataloged_data_and_instruction_components	instruction_cache_hierarchy	instruction_cache_maintenance_records_the_exact_scope_range_and_hierarchy_dependency	AARCHMRS:Registers.json:CLIDR_EL1|CTR_EL0|Instructions.json:IC	implicit:instruction_cache_hierarchy
a64:semantic:state:instruction-context	a64:state:instruction-context	architectural_state	no	Armv8-A	base	v8Ap0	PC|instruction_fetch_context|context_synchronization_state	instruction_context	none	PC_and_fetch_context_are_distinct_but_synchronized_by_cataloged_control_transfers	instruction_context	branches_write_PC_and_ISB_synchronizes_the_instruction_fetch_context	AARCHMRS:Instructions.json:PC|ISB|branch	implicit:instruction_context|implicit:pc
a64:semantic:state:interrupt-delivery	a64:state:interrupt-delivery	architectural_state	no	Armv8-A	base	v8Ap0	PSTATE_interrupt_masks|pending_interrupts|wake_event	interrupt_delivery_state	none	mask_state_and_pending_interrupt_state_are_distinct_dependencies	interrupt_state	WFI_and_exception_delivery_record_mask_pending_and_wake_dependencies	AARCHMRS:Registers.json:DAIF|Instructions.json:WFI	implicit:interrupt_state
a64:semantic:state:memory-attributes	a64:state:memory-attributes	architectural_state	no	Armv8-A	base	v8Ap0	MAIR_EL1|MAIR_EL2|MAIR_EL3|shareability_and_cacheability	memory_attribute_state	EL_banks	EL_banked_MAIR_instances_are_distinct	memory_attributes	translation_and_cache_maintenance_record_the_selected_memory_attributes	AARCHMRS:Registers.json:MAIR_EL1|MAIR_EL2|MAIR_EL3	implicit:memory_attributes
a64:semantic:state:memory-order	a64:state:memory-order	architectural_state	no	Armv8-A	base	v8Ap0	ordered_observations|completion_state|shareability_domain	memory_order_state	domains	ordering_and_completion_are_distinct_cataloged_barrier_outcomes	memory_order_state	DMB_and_DSB_read_and_update_the_architectural_observation_contract_for_the_selected_domain	AARCHMRS:Instructions.json:DMB|DSB	implicit:memory_order_state
a64:semantic:state:memory-tags	a64:state:memory-tags	architectural_state	no	Armv8-A	FEAT_MTE	v8Ap4	allocation_tags|logical_address_tag|tag_check_state	tag_storage_and_check_state	granules	allocation_tags_are_distinct_from_data_bytes;logical_tags_are_address_bits	memory_tag_state	tag_read_write_and_check_dependencies_are_separate_from_ordinary_data_memory	AARCHMRS:Features.json:FEAT_MTE	formula:memory_tagchecked_if_rn_not_sp|formula:memory_tagchecked_if_writeback_or_rn_not_sp|state:memory_tags
a64:semantic:state:nzcv	a64:state:nzcv	architectural_state	no	Armv8-A	base	v8Ap0	NZCV	condition_flags	none	N|Z|C|V_are_distinct_fields_of_NZCV	NZCV	explicit_and_implicit_flag_dependencies_are_always_recorded	AARCHMRS:Registers.json:NZCV	implicit:NZCV|operand:nzcv
a64:semantic:state:pstate	a64:state:pstate	architectural_state	no	Armv8-A	base	v8Ap0	PSTATE	architectural_fields	none	field_overlap_is_defined_by_the_pinned_authority	PSTATE	privilege_interrupt_mask_streaming_and_execution_state_dependencies_are_recorded	AARCHMRS:Instructions.json:PSTATE	implicit:PSTATE|implicit:PSTATE.DAIF|operand:pstate_field|target:PSTATE
a64:semantic:state:scheduler	a64:state:scheduler	architectural_state	no	Armv8-A	base	v8Ap0	PE_execution_state|wait_state|yield_state	scheduler_state	none	wait_and_yield_states_are_distinct_per_processing_element_dependencies	scheduler_state	YIELD_WFE_and_WFI_record_their_exact_scheduler_and_wait_dependencies	AARCHMRS:Instructions.json:YIELD|WFE|WFI	implicit:scheduler_state
a64:semantic:state:sme-streaming	a64:state:sme-streaming	architectural_state	no	Armv9-A	sme	v9Ap2	SVCR.SM|SVCR.ZA	streaming_mode_and_ZA_enable_bits	none	SM_and_ZA_are_distinct_state_bits_with_cataloged_transition_rules	streaming_state	SMSTART_and_SMSTOP_transitions_and_every_streaming_or_ZA_gate_are_recorded_exactly	AARCHMRS:Registers.json:SVCR|SMCR_EL1|SMCR_EL2|SMCR_EL3	formula:simd_streaming_gate|implicit:streaming_state
a64:semantic:state:sme-streaming-vector-length	a64:state:sme-streaming-vector-length	architectural_state	no	Armv9-A	sme	v9Ap2	SVL	scalable_multiple_of_128_bits	lanes|tiles|slices	SVL_is_distinct_from_non_streaming_VL	streaming_vector_length	current_SVL_is_runtime_architectural_state_constrained_by_the_selected_target_and_controls_streaming_ranges	AARCHMRS:Instructions.json:CurrentSVL	state:streaming_vector_length
a64:semantic:state:sme-zt0	a64:state:sme-zt0	architectural_state	no	Armv9-A	FEAT_SME2	v9Ap2	ZT0	512_bit_lookup_table	bytes|elements	all_ZT0_element_views_overlap_the_same_512_bit_storage	ZT0	availability_and_liveness_are_gated_by_SME2_and_cataloged_streaming_control_state	AARCHMRS:Instructions.json:ZT0	state:ZT0
a64:semantic:state:sve-ffr	a64:state:sve-ffr	architectural_state	no	Armv8-A	sve	v8Ap2	FFR	scalable_predicate_b|predicate_h|predicate_s|predicate_d	predicate_elements	all_FFR_granularity_views_overlap_the_same_scalable_first_fault_state	FFR	first_fault_and_non_fault_loads_record_exact_FFR_reads_writes_and_predicate_dependent_memory_ranges	AARCHMRS:Instructions.json:FFR	state:FFR
a64:semantic:state:sve-vector-length	a64:state:sve-vector-length	architectural_state	no	Armv8-A	sve	v8Ap2	VL	scalable_multiple_of_128_bits	lanes|predicate_elements	VL_controls_Z_P_and_FFR_sizes_and_is_distinct_from_SVL	vector_length	current_VL_is_runtime_architectural_state_constrained_by_the_selected_target_and_controls_scalable_ranges	AARCHMRS:Instructions.json:CurrentVL	state:vector_length
a64:semantic:state:system-registers	a64:state:system-registers	architectural_state	no	Armv8-A	base	v8Ap0	exact_named_AArch64_system_registers	cataloged_register_widths	register_fields	aliases_and_banked_views_follow_generated_accessor_identity	sysreg	every_admitted_MRS_or_MSR_resolves_one_exact_generated_accessor_contract_and_state_identity	AARCHMRS:Registers.json:system_register_denominator|Instructions.json:MRS|Instructions.json:MSR	dynamic:authenticated_dependency|dynamic:pstate_field|dynamic:register_field|dynamic:sysreg_state|implicit:DCZID_EL0|operand:sysreg
a64:semantic:state:tlb-hierarchy	a64:state:tlb-hierarchy	architectural_state	no	Armv8-A	base	v8Ap0	translation_cache_levels|shareability_domains|invalidation_state	translation_cache_entries	levels|domains	stage_and_EL_specific_translation_cache_components_are_distinct	tlb_hierarchy	TLBI_records_the_exact_regime_operand_scope_and_translation_cache_dependency	AARCHMRS:Instructions.json:TLBI|Registers.json:TCR_EL1|TCR_EL2|TCR_EL3	implicit:tlb_hierarchy
a64:semantic:state:translation-regime	a64:state:translation-regime	architectural_state	no	Armv8-A	base	v8Ap0	TTBR0_EL1|TTBR1_EL1|TCR_EL1|SCTLR_EL1|higher_EL_regimes	translation_regime	EL_and_stage_banks	selected_EL_stage_and_security_regimes_are_distinct	translation_regime	address_translation_tag_checks_and_SP_alignment_use_the_exact_selected_regime	AARCHMRS:Registers.json:TTBR0_EL1|TTBR1_EL1|TCR_EL1|SCTLR_EL1	formula:sp_alignment_check_if_rn_is_sp|implicit:translation_regime
